,"IC50, mM",MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MaxPartialCharge,MaxAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi1n,Chi2v,Chi4v,Ipc,Kappa3,PEOE_VSA13,PEOE_VSA14,PEOE_VSA3,PEOE_VSA4,PEOE_VSA6,PEOE_VSA7,SMR_VSA1,SMR_VSA10,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA12,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA7,SlogP_VSA8,EState_VSA1,EState_VSA10,EState_VSA4,EState_VSA5,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,NHOHCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticHeterocycles,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_COO,fr_Ar_OH,fr_C_O,fr_C_S,fr_Imine,fr_NH2,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_alkyl_carbamate,fr_alkyl_halide,fr_amidine,fr_aniline,fr_benzene,fr_bicyclic,fr_ester,fr_furan,fr_halogen,fr_hdrzine,fr_imidazole,fr_lactone,fr_nitro,fr_piperdine,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_tetrazole,fr_thiazole,fr_unbrch_alkane
0,6.239373566893883,5.094096221873098,0.3872247872728121,0.3872247872728121,0.4173618732617801,42.92857142857143,0.03884365429851114,0.2935255147973819,0.6428571428571429,1.035714285714286,1.321428571428571,9.700469635810666,2.600532088113167,-2.343082085132494,2.644697757474545,-2.322229234053284,0.193480759150443,3.150502892205044,1.164037575501787,611.9203005807427,12.20422612095181,12.05807752336798,7.340246526019462,2187750.164884781,2.868737096784919,0.0,0.0,0.0,0.0,54.38406644399575,74.03236601452443,0.0,11.4233700055414,43.48058343518124,105.7506394274039,13.08951281182515,0.0,0.0,0.0,0.0,0.0,33.49577396990991,105.7506394274039,0.0,0.0,0.0,0.0,24.92532490414794,64.20821622926012,41.54242319814374,9.984809465271338,0.0,0.0,4.807589192862531,1.764908477578238,13.25822336932681,16.98108651648622,0.0,0.9230769230769231,0,4,0,4,0,2,7,4,0,4,4,7.121200000000009,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,0.7718312468161961,3.961416712562997,0.5338684970983402,0.5338684970983402,0.4624728071616784,45.21428571428572,0.01288657023386288,0.3134072129990773,0.6071428571428571,1.0,1.285714285714286,9.689226058600022,2.614066470420122,-2.394689647839289,2.658342289949484,-2.444816775724512,0.1203222980173243,3.150502892205044,1.080362063115187,516.7801241234168,12.59575411272515,12.6485447474597,8.180905033985566,2187750.164884781,3.02717656903665,0.0,0.0,0.0,0.0,54.38406644399575,97.95185976514314,0.0,0.0,33.49577396990991,117.8343210856998,13.08951281182515,0.0,10.63357720801266,0.0,0.0,0.0,33.49577396990991,105.7506394274039,0.0,0.0,0.0,0.0,23.91949375061871,77.29772904108526,52.1760004061564,0.0,0.0,7.922833425125994,2.153503044012327,1.914376644091859,14.13538102269576,17.6705653555792,0.0,1.0,2,4,0,4,0,2,9,4,0,4,4,6.155600000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2,223.8087777802645,2.627117384182923,0.5432308210510737,0.5432308210510737,0.2609227801240689,42.1875,0.09480154751355077,0.3255733210758452,0.5625,0.90625,1.15625,9.68129265007358,2.665273775695772,-2.4772026580666,2.679014399768647,-2.565224041654418,-0.9229015704343101,3.214947253123124,1.219066029523398,643.6201536047666,14.24900475587681,15.67121607458041,10.14030341075288,8610750.760455066,3.470069678502657,0.0,0.0,0.0,0.0,41.54242319814374,74.03236601452444,8.966061715389248,0.0,33.49577396990991,117.8343210856998,41.28020074253391,0.0,0.0,0.0,0.0,0.0,33.49577396990991,105.7506394274039,0.0,0.0,0.0,0.0,23.91949375061871,86.2637907564745,69.73311112885249,0.0,2.517629791177771,0.0,2.184127470091298,1.930720384526508,14.4916192655274,18.2872161632852,10.18361802183522,1.0,0,4,0,4,0,2,9,4,0,4,4,7.129200000000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3
3,1.705624296116444,5.097360048942529,0.390602645354716,0.390602645354716,0.3778455055831542,41.86206896551724,0.03884364519596072,0.2935255148336137,0.6206896551724138,1.0,1.310344827586207,9.70049715960851,2.600528653569801,-2.342884614287352,2.644708711275066,-2.322030494033969,0.1935102089478292,3.17926985320412,1.120512909778165,626.6513661249833,12.70422612095181,12.41163091396125,7.517023221316098,3572141.766774113,3.263847962156897,0.0,0.0,0.0,0.0,60.80488806692176,74.03236601452443,0.0,11.4233700055414,43.48058343518124,112.1714610503299,13.08951281182515,0.0,0.0,0.0,0.0,0.0,33.49577396990991,112.1714610503299,0.0,0.0,0.0,0.0,24.92532490414794,70.62903785218613,41.54242319814374,9.984809465271338,0.0,0.0,4.827851813732591,1.769975405362917,14.69543927282678,17.01201341019265,0.0,0.9259259259259259,0,4,0,4,0,2,8,4,0,4,4,7.511300000000009,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,107.1315318094944,5.150509901253949,0.2704760518661459,0.2704760518661459,0.4290384545075999,36.51428571428571,0.06289745878380013,0.2572393015210201,0.6,0.9714285714285714,1.257142857142857,9.70038553581742,2.602485715919116,-2.342009125064716,2.648473252120894,-2.318892629384824,0.193686506552366,3.337073624442143,1.13667806407789,1101.164251546143,13.86882537569647,13.61370045294676,8.119075847834536,105375761.6128024,3.345855439602058,0.0,0.0,0.0,0.0,65.80789147199017,103.0039156488389,0.0,22.79814255490853,43.48058343518124,86.48817455862581,0.0,0.0,0.0,11.37477254936712,0.0,6.42082162292601,33.49577396990991,91.19425591909379,0.0,0.0,0.0,0.0,29.63140626461592,61.07520272649145,90.07335974583661,9.984809465271338,0.0,0.0,9.0717826238612,1.605177804776269,8.627310798875893,14.6923179140855,0.0,0.5757575757575758,0,4,0,4,0,2,4,4,0,4,6,9.1148,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,15.03791057255341,5.758408034812463,0.278082987709212,0.278082987709212,0.711012171569234,28.6,0.06289745878380013,0.3987285599838353,0.96,1.56,2.08,9.700404399924688,2.592294942303743,-2.341882516374624,2.637658457192008,-2.31885681161874,0.1937013120396086,2.92051309758689,1.523516049715847,798.9913641424451,9.398008418082243,8.636820197918892,4.812877560216466,628774.7878580671,2.681684775361196,0.0,0.0,0.0,0.0,45.03667987291831,72.40855426450265,0.0,17.08645755213783,21.74029171759062,46.4544980907759,5.733667477162185,0.0,5.733667477162185,11.37477254936712,0.0,6.42082162292601,16.74788698495495,51.16057945124389,0.0,0.0,0.0,0.0,23.71350021845453,36.10105285494272,57.16941400984153,10.72607220979785,0.0,0.0,12.35843304181242,0.8065186492255949,4.766280046136041,7.291772414368499,0.0,0.4347826086956522,2,2,0,2,0,2,3,2,0,2,4,5.778300000000005,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,18.90816681541091,2.584471926061785,0.4296494105587354,0.4296494105587354,0.3285394231379137,36.56410256410256,0.1321598962435728,0.2930725743873615,0.5641025641025641,0.8974358974358975,1.153846153846154,9.680919227135966,2.670743012800814,-2.469845058357347,2.682798253750355,-2.570517086924708,0.07359663479233358,3.412805476470516,1.156405779851839,1135.685264139421,15.91360401062148,16.84202661743565,10.86636094498406,459191993.9711307,3.655882189183588,0.0,0.0,0.0,0.0,65.80789147199017,90.16227240298683,0.0,11.37477254936712,33.49577396990991,98.57185621692173,28.19068793070876,0.0,8.966061715389248,11.37477254936712,0.0,6.42082162292601,33.49577396990991,91.19425591909379,0.0,0.0,0.0,0.0,27.22269543063804,61.02660527031718,118.2640476765454,0.0,2.020151197669513,0.0,7.534827179741789,1.766502445743767,9.374572387765228,15.32736940690484,9.825937407060971,0.6756756756756757,0,4,0,4,0,2,6,4,0,4,6,8.840800000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
7,28.77308680552558,13.8218795773563,0.07984497572618143,-0.3012595406838834,0.2173322318502264,31.33333333333333,0.2257502739547918,0.3556231179854463,0.6078431372549019,1.0,1.392156862745098,9.49217585385057,2.558257201437969,-2.54270129672399,2.58593262903773,-2.549777983204637,-0.1391007821176213,3.095616828856079,0.9245477374022117,1460.333756810977,21.07069162389032,18.98163509484001,11.87261528800378,142014916108.3997,7.081672348112992,0.0,0.0,0.0,0.0,123.8922081229247,132.0905303028812,9.589074368143644,11.81435945870301,22.66579303111634,174.3680149725315,13.08951281182515,0.0,10.63357720801266,0.0,0.0,33.26069855278922,22.66579303111634,184.077099738068,0.0,0.0,0.0,9.589074368143644,96.5601939098633,46.222352196034,102.4216772163073,0.0,0.0,6.784550242797004,8.473058000295891,2.427543794831465,16.41501480298867,20.05913061783378,0.0,0.7021276595744681,2,4,0,4,0,4,12,2,0,2,6,10.83709999999999,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
9,6.400846618646093,6.135893460779373,0.2392260518661458,0.2392260518661458,0.4399154244159055,36.4,0.1270830306641318,0.4573791779576538,0.6,0.9714285714285714,1.257142857142857,9.700415948571102,2.602517443310568,-2.341981426347941,2.64878228278003,-2.318862773257647,0.193686540716181,3.337073624442143,1.13667806407789,1107.629257484972,13.56996688497379,13.19389377012939,7.820217357111848,105375761.6128024,3.294634080850217,0.0,0.0,0.0,0.0,41.54242319814374,109.7216593163653,4.736862953800049,22.79814255490853,43.48058343518124,80.0673529356998,0.0,11.49902366656781,4.736862953800049,11.37477254936712,0.0,0.0,33.49577396990991,80.0673529356998,0.0,0.0,0.0,0.0,47.55125155410974,37.10665649724544,65.80789147199017,14.72167241907139,6.135893460779373,0.0,6.033338664104559,3.240723679372919,7.523698139305892,14.56293519803611,0.0,0.5625,0,4,0,4,0,3,4,4,0,4,6,9.3163,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4.185789245511488,5.856557841500798,0.2468329877092124,0.2468329877092124,0.701836833957373,28.44,0.1270830305154059,0.4573792052231779,0.96,1.56,2.08,9.700419604583464,2.592316095734774,-2.341842673811976,2.637835331795212,-2.318834796048487,0.1937010586340334,2.92051309758689,1.523516049715847,804.925793521736,9.099149927359559,8.21701351510153,4.514019069493782,628774.7878580671,2.622489617226438,0.0,0.0,0.0,0.0,20.77121159907187,79.12629793202909,4.736862953800049,17.08645755213783,21.74029171759062,40.0336764678499,5.733667477162185,11.49902366656781,10.47053043096223,11.37477254936712,0.0,0.0,16.74788698495495,40.0336764678499,0.0,0.0,0.0,0.0,35.21252388502234,18.55332824862272,20.77121159907187,15.4629351635979,5.856557841500798,0.0,9.44534862807167,2.382598464830799,3.755862605239929,7.227081056343808,0.0,0.4090909090909091,2,2,0,2,0,3,3,2,0,2,4,5.979800000000006,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
