,SI,MaxEStateIndex,MinEStateIndex,qed,SPS,HeavyAtomMolWt,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,HallKierAlpha,Kappa2,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA4,PEOE_VSA5,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA3,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,FractionCSP3,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHeteroatoms,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_N,fr_C_O_noCOO,fr_C_S,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_Ndealkylation1,fr_Ndealkylation2,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_furan,fr_halogen,fr_hdrzone,fr_imidazole,fr_imide,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_methoxy,fr_morpholine,fr_nitro,fr_para_hydroxylation,fr_piperdine,fr_priamide,fr_quatN,fr_sulfide,fr_sulfonamd,fr_thiazole,fr_unbrch_alkane
0,28.125,5.094096221873098,0.3872247872728121,0.4173618732617801,42.92857142857143,340.3000000000001,0.03884365429851114,-0.2935255147973819,0.2935255147973819,0.6428571428571429,1.035714285714286,14.8222660494387,9.700469635810666,2.600532088113167,-2.343082085132494,2.644697757474545,-2.322229234053284,0.193480759150443,3.150502892205044,1.164037575501787,611.9203005807427,-0.66,6.947534329517691,0.0,0.0,0.0,0.0,0.0,0.0,9.984809465271338,0.0,0.0,35.34286375616011,0.0,0.0,11.4233700055414,0.0,43.48058343518124,105.7506394274039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.49577396990991,105.7506394274039,0.0,24.72,0.0,0.0,0.0,21.65996187758712,64.20821622926012,11.4233700055414,0.0,41.54242319814374,0.0,0.0,10.1881924437462,0.0,1.764908477578238,0.0,13.25822336932681,16.98108651648622,0.9230769230769231,0,2,4,0,0,0,2,2,4,0,4,4,7.121200000000009,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,7.000000000000001,3.961416712562997,0.5338684970983402,0.4624728071616784,45.21428571428572,340.3000000000001,0.01288657023386288,-0.3134072129990773,0.3134072129990773,0.6071428571428571,1.0,14.97511000634207,9.689226058600022,2.614066470420122,-2.394689647839289,2.658342289949484,-2.444816775724512,0.1203222980173243,3.150502892205044,1.080362063115187,516.7801241234168,-0.08,7.257647928994084,10.63357720801266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.08368165829592,0.0,0.0,0.0,10.63357720801266,33.49577396990991,117.8343210856998,0.0,0.0,10.63357720801266,0.0,0.0,0.0,0.0,33.49577396990991,105.7506394274039,0.0,24.06,0.0,0.0,0.0,21.65996187758712,77.29772904108526,0.0,0.0,52.1760004061564,0.0,0.0,0.0,7.922833425125994,1.914376644091859,1.536673841828201,14.13538102269576,17.6705653555792,1.0,2,2,4,0,0,0,2,2,4,0,4,4,6.155600000000006,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2,0.72,2.627117384182923,0.5432308210510737,0.2609227801240689,42.1875,388.3440000000002,0.09480154751355077,-0.3255733210758452,0.3255733210758452,0.5625,0.90625,15.35393759886982,9.68129265007358,2.665273775695772,-2.4772026580666,2.679014399768647,-2.565224041654418,-0.9229015704343101,3.214947253123124,1.219066029523398,643.6201536047666,-0.08,7.709372924468942,8.966061715389248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.67162418464558,53.36388240082982,8.966061715389248,0.0,0.0,33.49577396990991,117.8343210856998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.49577396990991,105.7506394274039,0.0,0.0,0.0,0.0,0.0,21.65996187758712,86.2637907564745,0.0,0.0,69.73311112885249,2.517629791177771,0.0,0.0,0.0,1.930720384526508,1.738402236889929,14.4916192655274,18.2872161632852,1.0,0,2,4,0,0,0,0,2,4,0,4,4,7.129200000000009,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3
3,63.23529411764706,5.097360048942529,0.390602645354716,0.3778455055831542,41.86206896551724,352.3110000000001,0.03884364519596072,-0.2935255148336137,0.2935255148336137,0.6206896551724138,1.0,14.82121596989277,9.70049715960851,2.600528653569801,-2.342884614287352,2.644708711275066,-2.322030494033969,0.1935102089478292,3.17926985320412,1.120512909778165,626.6513661249833,-0.66,7.485203794175765,0.0,0.0,0.0,0.0,0.0,0.0,9.984809465271338,0.0,0.0,35.34286375616011,0.0,0.0,11.4233700055414,0.0,43.48058343518124,112.1714610503299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.49577396990991,112.1714610503299,0.0,24.72,0.0,0.0,0.0,21.65996187758712,70.62903785218613,11.4233700055414,0.0,41.54242319814374,0.0,0.0,10.19472009788506,0.0,1.769975405362917,0.0,14.69543927282678,17.01201341019265,0.9259259259259259,0,2,4,0,0,0,2,2,4,0,4,4,7.511300000000009,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,1.3,5.150509901253949,0.2704760518661459,0.4290384545075999,36.51428571428571,424.3770000000002,0.06289745878380013,-0.2572393015210201,0.2572393015210201,0.6,0.9714285714285714,14.83111152791072,9.70038553581742,2.602485715919116,-2.342009125064716,2.648473252120894,-2.318892629384824,0.193686506552366,3.337073624442143,1.13667806407789,1101.164251546143,-2.22,7.639210919851287,0.0,0.0,0.0,0.0,0.0,0.0,9.984809465271338,0.0,0.0,22.25335094433497,11.37477254936712,0.0,22.79814255490853,0.0,43.48058343518124,86.48817455862581,59.65783953108687,0.0,0.0,11.37477254936712,0.0,0.0,6.42082162292601,33.49577396990991,91.19425591909379,0.0,24.72,0.0,0.0,0.0,10.82998093879356,61.07520272649145,0.0,0.0,90.07335974583661,0.0,0.0,10.3010198025079,0.0,1.605177804776269,17.86905772255992,8.627310798875893,14.6923179140855,0.5757575757575758,0,2,4,0,0,2,2,2,4,0,4,6,9.1148,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2.0,5.758408034812463,0.278082987709212,0.711012171569234,28.6,304.2670000000001,0.06289745878380013,-0.3987285599838353,0.3987285599838353,0.96,1.56,14.82086038684734,9.700404399924688,2.592294942303743,-2.341882516374624,2.637658457192008,-2.31885681161874,0.1937013120396086,2.92051309758689,1.523516049715847,798.9913641424451,-2.09,5.723892704119872,5.733667477162185,0.0,0.0,0.0,0.0,0.0,4.992404732635669,0.0,0.0,16.81406174685105,5.687386274683562,0.0,17.08645755213783,0.0,21.74029171759062,46.4544980907759,59.65783953108687,0.0,5.733667477162185,11.37477254936712,0.0,0.0,6.42082162292601,16.74788698495495,51.16057945124389,0.0,38.38,0.0,0.0,0.0,5.41499046939678,36.10105285494272,0.0,12.13273413692322,57.16941400984153,0.0,0.0,5.068012779568516,0.0,0.8065186492255949,16.87564973555559,4.766280046136041,7.291772414368499,0.4347826086956522,2,2,2,0,0,2,2,2,2,0,2,4,5.778300000000005,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7700000000000001,2.584471926061785,0.4296494105587354,0.3285394231379137,36.56410256410256,472.4210000000003,0.1321598962435728,-0.2930725743873615,0.2930725743873615,0.5641025641025641,0.8974358974358975,15.36101173216274,9.680919227135966,2.670743012800814,-2.469845058357347,2.682798253750355,-2.570517086924708,0.07359663479233358,3.412805476470516,1.156405779851839,1135.685264139421,-1.64,8.447529983148787,0.0,11.37477254936712,0.0,0.0,0.0,0.0,8.966061715389248,0.0,0.0,23.67162418464558,40.27436958900468,0.0,11.37477254936712,8.966061715389248,33.49577396990991,98.57185621692173,59.65783953108687,0.0,8.966061715389248,11.37477254936712,0.0,0.0,6.42082162292601,33.49577396990991,91.19425591909379,0.0,0.0,0.0,0.0,0.0,33.74364353588304,61.02660527031718,0.0,0.0,118.2640476765454,2.020151197669513,0.0,0.0,0.0,1.766502445743767,20.65063997511389,9.374572387765228,15.32736940690484,0.6756756756756757,0,2,4,0,0,2,0,2,4,0,4,6,8.840800000000005,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
7,0.82,13.8218795773563,-0.3012595406838834,0.2173322318502264,31.33333333333333,624.5290000000001,0.2257502739547918,-0.3556231179854463,0.3556231179854463,0.6078431372549019,1.0,16.15288237462965,9.49217585385057,2.558257201437969,-2.54270129672399,2.58593262903773,-2.549777983204637,-0.1391007821176213,3.095616828856079,0.9245477374022117,1460.333756810977,-2.62,15.01803007645631,10.63357720801266,0.0,0.0,11.81435945870301,0.0,0.0,9.589074368143644,0.0,0.0,13.08951281182515,10.82998093879356,9.589074368143644,11.81435945870301,10.63357720801266,22.66579303111634,174.3680149725315,69.77891136095164,0.0,10.63357720801266,0.0,0.0,0.0,33.26069855278922,22.66579303111634,184.077099738068,0.0,58.2,0.0,9.589074368143644,0.0,23.67162418464557,46.222352196034,0.0,0.0,102.4216772163073,0.0,0.0,27.6437591547126,6.784550242797004,2.427543794831465,14.36361005320726,16.41501480298867,20.05913061783378,0.7021276595744681,2,4,4,0,0,2,2,4,2,0,2,6,10.83709999999999,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
9,62.63333333333334,6.135893460779373,0.2392260518661458,0.4399154244159055,36.4,428.3650000000002,0.1270830306641318,-0.4573791779576538,0.4573791779576538,0.6,0.9714285714285714,16.48055297498304,9.700415948571102,2.602517443310568,-2.341981426347941,2.64878228278003,-2.318862773257647,0.193686540716181,3.337073624442143,1.13667806407789,1107.629257484972,-2.419999999999999,7.540774784817459,4.736862953800049,11.49902366656781,0.0,0.0,0.0,0.0,9.984809465271338,0.0,0.0,22.25335094433497,11.37477254936712,4.736862953800049,22.79814255490853,0.0,43.48058343518124,80.0673529356998,48.53093654769288,11.49902366656781,4.736862953800049,11.37477254936712,11.49902366656781,0.0,0.0,33.49577396990991,80.0673529356998,0.0,33.95,0.0,0.0,0.0,10.82998093879356,37.10665649724544,0.0,24.26546827384644,65.80789147199017,6.135893460779373,0.0,10.18990869139679,0.0,3.240723679372919,16.48016883367103,7.523698139305892,14.56293519803611,0.5625,0,3,4,0,0,2,3,3,4,0,4,6,9.3163,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7.857142857142859,5.856557841500798,0.2468329877092124,0.701836833957373,28.44,308.255,0.1270830305154059,-0.4573792052231779,0.4573792052231779,0.96,1.56,16.48053625393566,9.700419604583464,2.592316095734774,-2.341842673811976,2.637835331795212,-2.318834796048487,0.1937010586340334,2.92051309758689,1.523516049715847,804.925793521736,-2.29,5.618466768410216,10.47053043096223,11.49902366656781,0.0,0.0,0.0,0.0,4.992404732635669,0.0,0.0,16.81406174685104,5.687386274683562,4.736862953800049,17.08645755213783,0.0,21.74029171759062,40.0336764678499,48.53093654769288,11.49902366656781,10.47053043096223,11.37477254936712,11.49902366656781,0.0,0.0,16.74788698495495,40.0336764678499,0.0,47.61,0.0,0.0,0.0,5.41499046939678,18.55332824862272,0.0,48.53093654769288,20.77121159907187,5.856557841500798,0.0,5.01245722401296,0.0,2.382598464830799,15.4867608466667,3.755862605239929,7.227081056343808,0.4090909090909091,2,3,2,0,0,2,3,3,2,0,2,4,5.979800000000006,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
